*
* Haltestellen
*
$STOPPOINT:ID;Code;Name;MealPlaceCapacity;BreakFacility;Depot;DriverBase;VehicleCapacity;TotalVehicleCapacity;MaxStandingTime;VehicleChangeProhibited;UnguardedParking
4;KPL 3;KAISERPLATZ;-1;1;0;0;-1;-1;-1;1;0
5;H  721;Berg Wendepl.;-1;1;0;0;-1;-1;-1;1;0
6;KPL 1;KAISERPLATZ;-1;1;0;0;-1;-1;-1;1;0
7;MEWA2;Merk.Wassertrm;-1;1;0;0;-1;-1;-1;1;0
15;H  862;Nid.DürenerTor;-1;1;0;0;-1;-1;-1;1;0
16;H 9207A;Bahnh.DN/ZOB(S;-1;1;0;0;-1;-1;-1;1;0
24;SZRA1;Schoph.Z.R.Ack;-1;1;0;0;-1;-1;-1;1;0
25;H 9204D;Bahnh.DN/ZOB(B;-1;1;0;0;-1;-1;-1;1;0
26;H  481;Winden Üd.Weg;-1;1;0;0;-1;-1;-1;1;0
29;KPL 2;KAISERPLATZ;-1;1;0;0;-1;-1;-1;1;0
42;H 1231;Birgel Rotdorn;-1;1;0;0;-1;-1;-1;1;0
45;H 1271;Derw.Dampfmühl;-1;1;0;0;-1;-1;-1;1;0
55;JZOB6F;;-1;1;0;0;-1;-1;-1;1;0
80;H 1191;Gürz.Schlagb.;-1;1;0;0;-1;-1;-1;1;0
88;H 9203C;Bahnh.DN/ZOB(B;-1;1;0;0;-1;-1;-1;1;0
89;H  652;Drove A.Sandb.;-1;1;0;0;-1;-1;-1;1;0
90;MEKI1;Merk.Kirche;-1;1;0;0;-1;-1;-1;1;0
93;H  672;Thum Schule;-1;1;0;0;-1;-1;-1;1;0
100;MEWA1;Merk.Wassertrm;-1;1;0;0;-1;-1;-1;1;0
113;H  482;Winden Üd.Weg;-1;1;0;0;-1;-1;-1;1;0
117;H  671;Thum Schule;-1;1;0;0;-1;-1;-1;1;0
159;H 4492;Arena Kreis DN;-1;1;0;0;-1;-1;-1;1;0
168;B001;BTH Düren;-1;1;1;1;352;-1;-1;0;1
*
* Linien
*
$LINE:ID;Code;Name;LineAbiding;LineAbidingBefore;LineAbidingAfter;DutyLineAbiding;LongLine;MinBreak;NightLine;SchoolLine;LimitedDurationLine;PreferredBlockOperator
211;211;211;0;0;0;0;0;;0;0;0;0
213;213;213;0;0;0;0;0;;0;0;0;0
216;216;216;0;0;0;0;0;;0;0;0;0
221;221;221;0;0;0;0;0;;0;0;0;0
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity;MinUsage;ReliefCar;MaxBlockTime;MaxRunTime;RefuelingDuration;MaxBlockDistance;Operator;FuelCapacity;FuelConsumptionPerMeter;FuelConsumptionPerSecond;RefuelingPower;RefuelingFunctionID
0;SL;SL;200000;120;30;300;20;0;0;0;-1;0;-1;-1;0;0;0;-1
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
0;SL;SL
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
0;0
*
* Fahrzeugkapazitaeten
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
0;168;0;200
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftEarlier;MaxShiftLater;FromStopBreakFacility;ToStopBreakFacility;CODE;BlockWish;WaitingTime;RecommendedShift;Distance
1055;211;88;5;000:16:25:00;000:17:10:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556104559397]/28;;0;0;18031
1107;211;93;6;000:16:51:00;000:17:25:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556185238237]/25;;0;0;13263
1153;211;5;6;000:17:15:00;000:17:55:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556187177477]/35;;0;0;16460
1166;211;88;5;000:17:25:00;000:18:10:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556104595139]/29;;0;0;18031
1242;211;4;89;000:18:00:00;000:18:26:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556109450413]/73;;0;0;10665
1261;211;5;16;000:18:15:00;000:18:59:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556185299566]/29;;0;0;17839
1299;211;88;5;000:18:40:00;000:19:20:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556107048723]/55;;0;0;17880
1301;211;89;16;000:18:41:00;000:19:09:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556187393111]/41;;0;0;11064
1363;211;88;89;000:19:25:00;000:19:51:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556108705067]/62;;0;0;11594
1364;211;5;16;000:19:25:00;000:19:58:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556187297310]/38;;0;0;17348
1392;211;89;16;000:19:56:00;000:20:23:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556185498704]/33;;0;0;11555
1416;211;88;5;000:20:45:00;000:21:25:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556104760771]/31;;0;0;18031
21;216;7;4;000:05:19:00;000:05:38:00;0;0;0;0;0;0;0;[@14.0.8876141@][2][1557393801954]/0;;0;0;7570
30;216;6;24;000:05:30:00;000:05:52:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858156988]/31;;0;0;12509
47;216;6;90;000:05:45:00;000:06:00:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551859185586]/73;;0;0;7062
67;216;24;4;000:05:57:00;000:06:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551881786646]/65;;0;0;12831
75;216;6;55;000:06:00:00;000:06:41:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551857332045]/0;;0;0;20141
131;216;6;90;000:06:30:00;000:06:48:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858993675]/62;;0;0;7062
141;216;7;4;000:06:34:00;000:06:55:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551880692112]/26;;0;0;7570
159;216;55;4;000:06:44:00;000:07:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551879601977]/0;;0;0;20143
198;216;6;24;000:07:00:00;000:07:26:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858156988]/34;;0;0;12509
236;216;24;4;000:07:27:00;000:07:55:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551881786646]/66;;0;0;12831
247;216;6;100;000:07:30:00;000:07:49:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858552627]/42;;0;0;7565
300;216;6;55;000:08:00:00;000:08:41:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551857332045]/1;;0;0;20141
308;216;7;4;000:08:04:00;000:08:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551880692112]/28;;0;0;7570
348;216;6;90;000:08:30:00;000:08:48:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551859185586]/74;;0;0;7062
356;216;7;4;000:08:34:00;000:08:55:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551880692112]/27;;0;0;7570
370;216;55;4;000:08:44:00;000:09:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551879601977]/1;;0;0;20143
395;216;6;24;000:09:00:00;000:09:26:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858156988]/35;;0;0;12509
424;216;24;4;000:09:27:00;000:09:55:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551881786646]/67;;0;0;12831
436;216;6;100;000:09:30:00;000:09:49:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858801820]/53;;0;0;7565
476;216;6;55;000:10:00:00;000:10:41:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551857332045]/2;;0;0;20141
485;216;7;4;000:10:04:00;000:10:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551880692112]/29;;0;0;7570
514;216;6;90;000:10:30:00;000:10:48:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551859185586]/75;;0;0;7062
523;216;7;4;000:10:34:00;000:10:55:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551880692112]/30;;0;0;7570
531;216;55;4;000:10:44:00;000:11:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551879601977]/2;;0;0;20143
555;216;6;24;000:11:00:00;000:11:26:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858156988]/36;;0;0;12509
586;216;24;4;000:11:27:00;000:11:55:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551881786646]/68;;0;0;12831
598;216;6;100;000:11:30:00;000:11:49:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858801820]/54;;0;0;7565
635;216;6;55;000:12:00:00;000:12:41:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551857332045]/3;;0;0;20141
644;216;7;4;000:12:04:00;000:12:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551880692112]/31;;0;0;7570
675;216;6;90;000:12:30:00;000:12:48:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551859185586]/76;;0;0;7062
686;216;7;4;000:12:34:00;000:12:55:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551880692112]/32;;0;0;7570
697;216;55;4;000:12:44:00;000:13:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551879601977]/3;;0;0;20143
721;216;6;24;000:13:00:00;000:13:26:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858156988]/37;;0;0;12509
757;216;24;4;000:13:27:00;000:13:55:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551881786646]/69;;0;0;12831
771;216;6;100;000:13:30:00;000:13:49:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858552627]/43;;0;0;7565
817;216;6;55;000:14:00:00;000:14:41:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551857332045]/4;;0;0;20141
827;216;7;4;000:14:04:00;000:14:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551880383800]/9;;0;0;7570
871;216;6;90;000:14:30:00;000:14:48:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858993675]/63;;0;0;7062
880;216;7;4;000:14:34:00;000:14:55:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551880692112]/33;;0;0;7570
889;216;55;4;000:14:44:00;000:15:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551879601977]/4;;0;0;20143
917;216;6;24;000:15:00:00;000:15:26:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551857514524]/7;;0;0;12509
952;216;24;4;000:15:27:00;000:15:55:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551881786646]/70;;0;0;12831
964;216;6;100;000:15:30:00;000:15:49:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858801820]/55;;0;0;7565
1028;216;6;55;000:16:00:00;000:16:41:00;0;0;0;0;0;0;0;[@14.0.8876141@][1][1559268716219]/7;;0;0;20141
1030;216;7;4;000:16:04:00;000:16:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551880692112]/34;;0;0;7570
1067;216;6;90;000:16:30:00;000:16:48:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551859185586]/77;;0;0;7062
1077;216;7;4;000:16:34:00;000:16:55:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551880692112]/35;;0;0;7570
1093;216;55;4;000:16:44:00;000:17:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551879601977]/5;;0;0;20143
1129;216;6;24;000:17:00:00;000:17:26:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858156988]/38;;0;0;12509
1171;216;24;4;000:17:27:00;000:17:55:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551881786646]/71;;0;0;12831
1182;216;6;100;000:17:30:00;000:17:49:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858801820]/56;;0;0;7565
1237;216;6;55;000:18:00:00;000:18:41:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551857332045]/6;;0;0;20141
1245;216;7;4;000:18:04:00;000:18:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551880692112]/36;;0;0;7570
1281;216;6;90;000:18:30:00;000:18:48:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551859185586]/78;;0;0;7062
1289;216;7;4;000:18:34:00;000:18:55:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551880692112]/37;;0;0;7570
1304;216;55;4;000:18:44:00;000:19:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551879601977]/6;;0;0;20143
1335;216;6;24;000:19:00:00;000:19:26:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858156988]/39;;0;0;12509
1366;216;24;4;000:19:27:00;000:19:55:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551881786646]/72;;0;0;12831
1373;216;6;100;000:19:30:00;000:19:49:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858801820]/57;;0;0;7565
1399;216;7;4;000:20:06:00;000:20:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551880692112]/38;;0;0;7570
1406;216;6;24;000:20:30:00;000:20:52:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858156988]/32;;0;0;12509
1424;216;24;4;000:20:59:00;000:21:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551881786646]/73;;0;0;12831
1434;216;6;24;000:21:30:00;000:21:52:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858156988]/33;;0;0;12509
1446;216;24;4;000:21:59:00;000:22:25:00;0;0;0;0;0;0;0;[@1.0.224347937@][2][1551881786646]/74;;0;0;12831
1453;216;6;100;000:22:30:00;000:22:46:00;0;0;0;0;0;0;0;[@1.0.224347937@][1][1551858801820]/58;;0;0;7565
19;213;80;29;000:05:15:00;000:05:25:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551781675271]/107;;0;0;4186
48;213;6;80;000:05:45:00;000:05:55:00;0;0;0;0;0;0;0;[@1.0.224349687@][1][1551776626187]/0;;0;0;4559
68;213;80;29;000:05:57:00;000:06:10:00;0;0;0;0;0;0;0;[@14.0.8877151@][2][1560418520995]/4;;0;0;4186
98;213;6;80;000:06:15:00;000:06:27:00;0;0;0;0;0;0;0;[@1.0.224349687@][1][1551776626187]/1;;0;0;4559
123;213;80;29;000:06:27:00;000:06:40:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551781675271]/109;;0;0;4186
170;213;6;45;000:06:45:00;000:07:04:00;0;0;0;0;0;0;0;[@14.0.8877151@][1][1558226690274]/18;;0;0;7138
178;213;42;29;000:06:50:00;000:07:10:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/56;;0;0;7182
225;213;6;42;000:07:15:00;000:07:34:00;0;0;0;0;0;0;0;[@1.0.224349687@][1][1551777272059]/19;;0;0;7652
230;213;45;29;000:07:20:00;000:07:40:00;0;0;0;0;0;0;0;[@14.0.8877151@][2][1558226642226]/17;;0;0;6690
278;213;6;45;000:07:45:00;000:08:17:00;0;0;0;0;0;0;0;[@14.0.8877151@][1][1557220407946]/1;;0;0;14685
282;213;42;29;000:07:50:00;000:08:10:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/58;;0;0;7182
325;213;6;42;000:08:15:00;000:08:34:00;0;0;0;0;0;0;0;[@1.0.224349687@][1][1551777272059]/20;;0;0;7652
332;213;45;29;000:08:20:00;000:08:40:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/59;;0;0;6690
376;213;6;45;000:08:45:00;000:09:04:00;0;0;0;0;0;0;0;[@14.0.8877151@][1][1557220512576]/3;;0;0;7138
381;213;42;29;000:08:50:00;000:09:10:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/60;;0;0;7182
414;213;6;42;000:09:15:00;000:09:34:00;0;0;0;0;0;0;0;[@1.0.224349687@][1][1551777272059]/22;;0;0;7652
419;213;45;29;000:09:20:00;000:09:40:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/61;;0;0;6690
458;213;6;45;000:09:45:00;000:10:17:00;0;0;0;0;0;0;0;[@14.0.8877151@][1][1557221338959]/24;;0;0;14685
463;213;42;29;000:09:50:00;000:10:10:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/62;;0;0;7182
496;213;6;42;000:10:15:00;000:10:34:00;0;0;0;0;0;0;0;[@1.0.224349687@][1][1551777272059]/23;;0;0;7652
500;213;45;29;000:10:20:00;000:10:40:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/63;;0;0;6690
537;213;6;45;000:10:45:00;000:11:04:00;0;0;0;0;0;0;0;[@14.0.8877151@][1][1557220662077]/7;;0;0;7138
541;213;42;29;000:10:50:00;000:11:10:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/64;;0;0;7182
577;213;6;42;000:11:15:00;000:11:34:00;0;0;0;0;0;0;0;[@1.0.224349687@][1][1551777272059]/25;;0;0;7652
581;213;45;29;000:11:20:00;000:11:40:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/65;;0;0;6690
619;213;6;45;000:11:45:00;000:12:04:00;0;0;0;0;0;0;0;[@14.0.8877151@][1][1557220754577]/9;;0;0;7138
624;213;42;29;000:11:50:00;000:12:10:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/66;;0;0;7182
655;213;6;42;000:12:15:00;000:12:34:00;0;0;0;0;0;0;0;[@1.0.224349687@][1][1551777272059]/27;;0;0;7652
659;213;45;29;000:12:20:00;000:12:40:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/67;;0;0;6690
706;213;6;45;000:12:45:00;000:13:04:00;0;0;0;0;0;0;0;[@14.0.8877151@][1][1557220780409]/11;;0;0;7138
709;213;42;29;000:12:50:00;000:13:10:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/68;;0;0;7182
743;213;6;42;000:13:15:00;000:13:34:00;0;0;0;0;0;0;0;[@1.0.224349687@][1][1551777272059]/29;;0;0;7652
747;213;45;29;000:13:20:00;000:13:40:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/69;;0;0;6690
802;213;6;45;000:13:45:00;000:14:04:00;0;0;0;0;0;0;0;[@14.0.8877151@][1][1557220941743]/15;;0;0;7138
807;213;42;29;000:13:50:00;000:14:10:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/70;;0;0;7182
846;213;6;42;000:14:15:00;000:14:34:00;0;0;0;0;0;0;0;[@1.0.224349687@][1][1551777272059]/31;;0;0;7652
853;213;45;29;000:14:20:00;000:14:40:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/71;;0;0;6690
897;213;6;45;000:14:45:00;000:15:17:00;0;0;0;0;0;0;0;[@14.0.8877151@][1][1557220977697]/17;;0;0;14685
901;213;42;29;000:14:50:00;000:15:10:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/72;;0;0;7182
940;213;6;42;000:15:15:00;000:15:34:00;0;0;0;0;0;0;0;[@1.0.224349687@][1][1551777272059]/32;;0;0;7652
943;213;45;29;000:15:20:00;000:15:40:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/73;;0;0;6690
996;213;6;45;000:15:45:00;000:16:04:00;0;0;0;0;0;0;0;[@14.0.8877151@][1][1557221051746]/19;;0;0;7138
1000;213;42;29;000:15:50:00;000:16:10:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/74;;0;0;7182
1042;213;6;42;000:16:15:00;000:16:34:00;0;0;0;0;0;0;0;[@1.0.224349687@][1][1551777272059]/34;;0;0;7652
1050;213;45;29;000:16:20:00;000:16:40:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/75;;0;0;6690
1101;213;6;45;000:16:45:00;000:17:17:00;0;0;0;0;0;0;0;[@14.0.8877151@][1][1557221129014]/21;;0;0;14685
1105;213;42;29;000:16:50:00;000:17:10:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/76;;0;0;7182
1152;213;6;42;000:17:15:00;000:17:34:00;0;0;0;0;0;0;0;[@1.0.224349687@][1][1551777272059]/35;;0;0;7652
1158;213;45;29;000:17:20:00;000:17:40:00;0;0;0;0;0;0;0;[@1.0.224349687@][2][1551780892778]/77;;0;0;6690
1210;213;6;45;000:17:45:00;000:18:04:00;0;0;0;0;0;0;0;[@14.0.8877151@][1][1557221159530]/22;;0;0;7138
