*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
0;0;168
1;0;168
2;0;168
3;0;168
4;0;168
5;0;168
6;0;168
7;0;168
8;0;168
9;0;168
10;0;168
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
1;ZD1067;90;168;0:16:48:00;0:17:11:00;3;
1;VD1289;168;7;0:18:11:00;0:18:34:00;4;
1;1289;7;4;0:18:34:00;0:18:55:00;1;
1;1289w;4;4;0:18:55:00;0:19:00:00;9;
1;1338;4;26;0:19:00:00;0:19:22:00;1;
1;ZD1338;26;168;0:19:22:00;0:19:47:00;3;
2;VD19;168;80;0:04:58:00;0:05:15:00;4;
2;19;80;29;0:05:15:00;0:05:25:00;1;
2;L19;29;4;0:05:25:00;0:05:25:00;2;
2;L19w;4;4;0:05:25:00;0:05:30:00;9;
2;32;4;15;0:05:30:00;0:05:59:00;1;
2;32w;15;15;0:05:59:00;0:06:00:00;9;
2;78;15;16;0:06:00:00;0:06:44:00;1;
2;L78;16;88;0:06:44:00;0:06:45:00;2;
2;L78w;88;88;0:06:45:00;0:06:55:00;9;
2;185;88;89;0:06:55:00;0:07:20:00;1;
2;185w;89;89;0:07:20:00;0:07:26:00;9;
2;235;89;16;0:07:26:00;0:07:59:00;1;
2;L235;16;6;0:07:59:00;0:08:04:00;2;
2;L235w;6;6;0:08:04:00;0:08:15:00;9;
2;325;6;42;0:08:15:00;0:08:34:00;1;
2;325w;42;42;0:08:34:00;0:08:50:00;9;
2;381;42;29;0:08:50:00;0:09:10:00;1;
2;L381;29;159;0:09:10:00;0:09:15:00;2;
2;415;159;6;0:09:15:00;0:09:22:00;1;
2;415w;6;6;0:09:22:00;0:09:30:00;9;
2;436;6;100;0:09:30:00;0:09:49:00;1;
2;L436;100;7;0:09:49:00;0:09:50:00;2;
2;L436w;7;7;0:09:50:00;0:10:04:00;9;
2;485;7;4;0:10:04:00;0:10:25:00;1;
2;ZD485;4;168;0:10:25:00;0:10:37:00;3;
2;VD628;168;25;0:11:43:00;0:11:55:00;4;
2;628;25;26;0:11:55:00;0:12:27:00;1;
2;L628;26;113;0:12:27:00;0:12:27:00;2;
2;L628w;113;113;0:12:27:00;0:12:28:00;9;
2;667;113;16;0:12:28:00;0:12:59:00;1;
2;ZD667;16;168;0:12:59:00;0:13:11:00;3;
2;VD755;168;25;0:13:13:00;0:13:25:00;4;
2;755;25;15;0:13:25:00;0:14:10:00;1;
2;755w;15;15;0:14:10:00;0:14:15:00;9;
2;845;15;6;0:14:15:00;0:14:55:00;1;
2;L845;6;88;0:14:55:00;0:14:59:00;2;
2;L845w;88;88;0:14:59:00;0:15:00:00;9;
2;922;88;5;0:15:00:00;0:15:45:00;1;
2;922w;5;5;0:15:45:00;0:16:15:00;9;
2;1043;5;16;0:16:15:00;0:16:59:00;1;
2;ZD1043;16;168;0:16:59:00;0:17:11:00;3;
2;VD1166;168;88;0:17:13:00;0:17:25:00;4;
2;1166;88;5;0:17:25:00;0:18:10:00;1;
2;1166w;5;5;0:18:10:00;0:18:15:00;9;
2;1261;5;16;0:18:15:00;0:18:59:00;1;
2;ZD1261;16;168;0:18:59:00;0:19:11:00;3;
2;VD1434;168;6;0:21:18:00;0:21:30:00;4;
2;1434;6;24;0:21:30:00;0:21:52:00;1;
2;1434w;24;24;0:21:52:00;0:21:59:00;9;
2;1446;24;4;0:21:59:00;0:22:25:00;1;
2;L1446;4;6;0:22:25:00;0:22:25:00;2;
2;L1446w;6;6;0:22:25:00;0:22:30:00;9;
2;1453;6;100;0:22:30:00;0:22:46:00;1;
2;ZD1453;100;168;0:22:46:00;0:23:11:00;3;
3;VD30;168;6;0:05:18:00;0:05:30:00;4;
3;30;6;24;0:05:30:00;0:05:52:00;1;
3;30w;24;24;0:05:52:00;0:05:57:00;9;
3;67;24;4;0:05:57:00;0:06:25:00;1;
3;L67;4;6;0:06:25:00;0:06:25:00;2;
3;L67w;6;6;0:06:25:00;0:06:30:00;9;
3;131;6;90;0:06:30:00;0:06:48:00;1;
3;L131;90;88;0:06:48:00;0:07:00:00;2;
3;L131w;88;88;0:07:00:00;0:07:10:00;9;
3;211;88;89;0:07:10:00;0:07:40:00;1;
3;211w;89;89;0:07:40:00;0:07:46:00;9;
3;279;89;16;0:07:46:00;0:08:19:00;1;
3;L279;16;6;0:08:19:00;0:08:24:00;2;
3;L279w;6;6;0:08:24:00;0:08:30:00;9;
3;348;6;90;0:08:30:00;0:08:48:00;1;
3;L348;90;45;0:08:48:00;0:09:00:00;2;
3;L348w;45;45;0:09:00:00;0:09:20:00;9;
3;419;45;29;0:09:20:00;0:09:40:00;1;
3;L419;29;6;0:09:40:00;0:09:41:00;2;
3;L419w;6;6;0:09:41:00;0:09:45:00;9;
3;458;6;45;0:09:45:00;0:10:17:00;1;
3;L458;45;7;0:10:17:00;0:10:30:00;2;
3;L458w;7;7;0:10:30:00;0:10:34:00;9;
3;523;7;4;0:10:34:00;0:10:55:00;1;
3;ZD523;4;168;0:10:55:00;0:11:07:00;3;
3;VD686;168;7;0:12:11:00;0:12:34:00;4;
3;686;7;4;0:12:34:00;0:12:55:00;1;
3;L686;4;6;0:12:55:00;0:12:55:00;2;
3;L686w;6;6;0:12:55:00;0:13:00:00;9;
3;721;6;24;0:13:00:00;0:13:26:00;1;
3;721w;24;24;0:13:26:00;0:13:27:00;9;
3;757;24;4;0:13:27:00;0:13:55:00;1;
3;757w;4;4;0:13:55:00;0:14:00:00;9;
3;820;4;26;0:14:00:00;0:14:27:00;1;
3;L820;26;42;0:14:27:00;0:14:42:00;2;
3;L820w;42;42;0:14:42:00;0:14:50:00;9;
3;901;42;29;0:14:50:00;0:15:10:00;1;
3;L901;29;6;0:15:10:00;0:15:11:00;2;
3;L901w;6;6;0:15:11:00;0:15:15:00;9;
3;940;6;42;0:15:15:00;0:15:34:00;1;
3;940w;42;42;0:15:34:00;0:15:50:00;9;
3;1000;42;29;0:15:50:00;0:16:10:00;1;
3;L1000;29;45;0:16:10:00;0:16:19:00;2;
3;L1000w;45;45;0:16:19:00;0:16:20:00;9;
3;1050;45;29;0:16:20:00;0:16:40:00;1;
3;L1050;29;6;0:16:40:00;0:16:41:00;2;
3;L1050w;6;6;0:16:41:00;0:16:45:00;9;
3;1101;6;45;0:16:45:00;0:17:17:00;1;
3;1101w;45;45;0:17:17:00;0:17:20:00;9;
3;1158;45;29;0:17:20:00;0:17:40:00;1;
3;L1158;29;6;0:17:40:00;0:17:41:00;2;
3;L1158w;6;6;0:17:41:00;0:17:45:00;9;
3;1210;6;45;0:17:45:00;0:18:04:00;1;
3;L1210;45;6;0:18:04:00;0:18:13:00;2;
3;L1210w;6;6;0:18:13:00;0:18:15:00;9;
3;1260;6;42;0:18:15:00;0:18:34:00;1;
3;1260w;42;42;0:18:34:00;0:18:50:00;9;
3;1317;42;29;0:18:50:00;0:19:10:00;1;
3;L1317;29;6;0:19:10:00;0:19:11:00;2;
3;L1317w;6;6;0:19:11:00;0:19:15:00;9;
3;1355;6;80;0:19:15:00;0:19:25:00;1;
3;1362;80;29;0:19:25:00;0:19:35:00;1;
3;L1362;29;6;0:19:35:00;0:19:36:00;2;
3;L1362w;6;6;0:19:36:00;0:19:45:00;9;
3;1383;6;80;0:19:45:00;0:19:55:00;1;
3;1390;80;29;0:19:55:00;0:20:05:00;1;
3;ZD1390;29;168;0:20:05:00;0:20:17:00;3;
4;VD81;168;4;0:05:48:00;0:06:00:00;4;
4;81;4;5;0:06:00:00;0:06:30:00;1;
4;81w;5;5;0:06:30:00;0:06:45:00;9;
4;169;5;16;0:06:45:00;0:07:29:00;1;
4;L169;16;88;0:07:29:00;0:07:30:00;2;
4;L169w;88;88;0:07:30:00;0:07:40:00;9;
4;266;88;89;0:07:40:00;0:08:10:00;1;
4;266w;89;89;0:08:10:00;0:08:11:00;9;
4;314;89;16;0:08:11:00;0:08:44:00;1;
4;L314;16;25;0:08:44:00;0:08:45:00;2;
4;L314w;25;25;0:08:45:00;0:08:55:00;9;
4;388;25;15;0:08:55:00;0:09:40:00;1;
4;388w;15;15;0:09:40:00;0:09:45:00;9;
4;457;15;6;0:09:45:00;0:10:25:00;1;
4;457w;6;6;0:10:25:00;0:10:30:00;9;
4;514;6;90;0:10:30:00;0:10:48:00;1;
4;ZD514;90;168;0:10:48:00;0:11:11:00;3;
4;VD664;168;25;0:12:13:00;0:12:25:00;4;
4;664;25;15;0:12:25:00;0:13:10:00;1;
4;664w;15;15;0:13:10:00;0:13:15:00;9;
4;742;15;6;0:13:15:00;0:13:55:00;1;
4;L742;6;7;0:13:55:00;0:14:10:00;2;
4;L742w;7;7;0:14:10:00;0:14:34:00;9;
4;880;7;4;0:14:34:00;0:14:55:00;1;
4;L880;4;6;0:14:55:00;0:14:55:00;2;
4;L880w;6;6;0:14:55:00;0:15:00:00;9;
4;917;6;24;0:15:00:00;0:15:26:00;1;
4;917w;24;24;0:15:26:00;0:15:27:00;9;
4;952;24;4;0:15:27:00;0:15:55:00;1;
4;ZD952;4;168;0:15:55:00;0:16:07:00;3;
4;VD1115;168;25;0:16:43:00;0:16:55:00;4;
4;1115;25;15;0:16:55:00;0:17:40:00;1;
4;1115w;15;15;0:17:40:00;0:17:45:00;9;
4;1209;15;6;0:17:45:00;0:18:25:00;1;
4;1209w;6;6;0:18:25:00;0:18:30:00;9;
4;1281;6;90;0:18:30:00;0:18:48:00;1;
4;ZD1281;90;168;0:18:48:00;0:19:11:00;3;
4;VD1416;168;88;0:20:33:00;0:20:45:00;4;
4;1416;88;5;0:20:45:00;0:21:25:00;1;
4;ZD1416;5;168;0:21:25:00;0:21:50:00;3;
5;VD77;168;4;0:05:48:00;0:06:00:00;4;
5;77;4;15;0:06:00:00;0:06:35:00;1;
5;77w;15;15;0:06:35:00;0:06:45:00;9;
5;167;15;16;0:06:45:00;0:07:29:00;1;
5;L167;16;42;0:07:29:00;0:07:41:00;2;
5;L167w;42;42;0:07:41:00;0:07:50:00;9;
5;282;42;29;0:07:50:00;0:08:10:00;1;
5;L282;29;45;0:08:10:00;0:08:19:00;2;
5;L282w;45;45;0:08:19:00;0:08:20:00;9;
5;332;45;29;0:08:20:00;0:08:40:00;1;
5;L332;29;6;0:08:40:00;0:08:41:00;2;
5;L332w;6;6;0:08:41:00;0:08:45:00;9;
5;376;6;45;0:08:45:00;0:09:04:00;1;
5;L376;45;6;0:09:04:00;0:09:13:00;2;
5;L376w;6;6;0:09:13:00;0:09:15:00;9;
5;414;6;42;0:09:15:00;0:09:34:00;1;
5;ZD414;42;168;0:09:34:00;0:09:52:00;3;
5;VD624;168;42;0:11:35:00;0:11:50:00;4;
5;624;42;29;0:11:50:00;0:12:10:00;1;
5;L624;29;6;0:12:10:00;0:12:11:00;2;
5;L624w;6;6;0:12:11:00;0:12:15:00;9;
5;655;6;42;0:12:15:00;0:12:34:00;1;
5;655w;42;42;0:12:34:00;0:12:50:00;9;
5;709;42;29;0:12:50:00;0:13:10:00;1;
5;L709;29;6;0:13:10:00;0:13:11:00;2;
5;L709w;6;6;0:13:11:00;0:13:15:00;9;
5;743;6;42;0:13:15:00;0:13:34:00;1;
5;743w;42;42;0:13:34:00;0:13:50:00;9;
5;807;42;29;0:13:50:00;0:14:10:00;1;
5;L807;29;6;0:14:10:00;0:14:11:00;2;
5;L807w;6;6;0:14:11:00;0:14:15:00;9;
5;846;6;42;0:14:15:00;0:14:34:00;1;
5;L846;42;113;0:14:34:00;0:14:49:00;2;
5;L846w;113;113;0:14:49:00;0:14:58:00;9;
5;912;113;6;0:14:58:00;0:15:25:00;1;
5;ZD912;6;168;0:15:25:00;0:15:37:00;3;
5;VD1055;168;88;0:16:13:00;0:16:25:00;4;
5;1055;88;5;0:16:25:00;0:17:10:00;1;
5;1055w;5;5;0:17:10:00;0:17:15:00;9;
5;1153;5;6;0:17:15:00;0:17:55:00;1;
5;1153w;6;6;0:17:55:00;0:18:00:00;9;
5;1237;6;55;0:18:00:00;0:18:41:00;1;
5;1237w;55;55;0:18:41:00;0:18:44:00;9;
5;1304;55;4;0:18:44:00;0:19:25:00;1;
5;L1304;4;6;0:19:25:00;0:19:25:00;2;
5;L1304w;6;6;0:19:25:00;0:19:30:00;9;
5;1373;6;100;0:19:30:00;0:19:49:00;1;
5;L1373;100;7;0:19:49:00;0:19:50:00;2;
5;L1373w;7;7;0:19:50:00;0:20:06:00;9;
5;1399;7;4;0:20:06:00;0:20:25:00;1;
5;L1399;4;6;0:20:25:00;0:20:25:00;2;
5;L1399w;6;6;0:20:25:00;0:20:30:00;9;
5;1406;6;24;0:20:30:00;0:20:52:00;1;
5;1406w;24;24;0:20:52:00;0:20:59:00;9;
5;1424;24;4;0:20:59:00;0:21:25:00;1;
5;L1424;4;6;0:21:25:00;0:21:25:00;2;
5;L1424w;6;6;0:21:25:00;0:21:30:00;9;
5;1437;6;80;0:21:30:00;0:21:40:00;1;
5;1441;80;29;0:21:40:00;0:21:50:00;1;
5;ZD1441;29;168;0:21:50:00;0:22:02:00;3;
6;VD75;168;6;0:05:48:00;0:06:00:00;4;
6;75;6;55;0:06:00:00;0:06:41:00;1;
6;75w;55;55;0:06:41:00;0:06:44:00;9;
6;159;55;4;0:06:44:00;0:07:25:00;1;
6;L159;4;6;0:07:25:00;0:07:25:00;2;
6;L159w;6;6;0:07:25:00;0:07:30:00;9;
6;247;6;100;0:07:30:00;0:07:49:00;1;
6;L247;100;7;0:07:49:00;0:07:50:00;2;
6;L247w;7;7;0:07:50:00;0:08:04:00;9;
6;308;7;4;0:08:04:00;0:08:25:00;1;
6;308w;4;4;0:08:25:00;0:08:30:00;9;
6;350;4;26;0:08:30:00;0:08:57:00;1;
6;L350;26;42;0:08:57:00;0:09:12:00;2;
6;L350w;42;42;0:09:12:00;0:09:50:00;9;
6;463;42;29;0:09:50:00;0:10:10:00;1;
6;L463;29;6;0:10:10:00;0:10:11:00;2;
6;L463w;6;6;0:10:11:00;0:10:15:00;9;
6;496;6;42;0:10:15:00;0:10:34:00;1;
6;496w;42;42;0:10:34:00;0:10:50:00;9;
6;541;42;29;0:10:50:00;0:11:10:00;1;
6;L541;29;45;0:11:10:00;0:11:19:00;2;
6;L541w;45;45;0:11:19:00;0:11:20:00;9;
6;581;45;29;0:11:20:00;0:11:40:00;1;
6;L581;29;6;0:11:40:00;0:11:41:00;2;
6;L581w;6;6;0:11:41:00;0:11:45:00;9;
6;619;6;45;0:11:45:00;0:12:04:00;1;
6;619w;45;45;0:12:04:00;0:12:20:00;9;
6;659;45;29;0:12:20:00;0:12:40:00;1;
6;ZD659;29;168;0:12:40:00;0:12:52:00;3;
6;VD875;168;4;0:14:18:00;0:14:30:00;4;
6;875;4;15;0:14:30:00;0:15:10:00;1;
6;875w;15;15;0:15:10:00;0:15:15:00;9;
6;939;15;16;0:15:15:00;0:15:59:00;1;
6;L939;16;25;0:15:59:00;0:16:00:00;2;
6;L939w;25;25;0:16:00:00;0:16:20:00;9;
6;1049;25;15;0:16:20:00;0:17:05:00;1;
6;1138;15;16;0:17:05:00;0:17:49:00;1;
6;L1138;16;25;0:17:49:00;0:17:50:00;2;
6;L1138w;25;25;0:17:50:00;0:17:55:00;9;
6;1226;25;15;0:17:55:00;0:18:40:00;1;
6;1226w;15;15;0:18:40:00;0:18:45:00;9;
6;1311;15;16;0:18:45:00;0:19:23:00;1;
6;L1311;16;88;0:19:23:00;0:19:24:00;2;
6;L1311w;88;88;0:19:24:00;0:19:25:00;9;
6;1363;88;89;0:19:25:00;0:19:51:00;1;
6;1363w;89;89;0:19:51:00;0:19:56:00;9;
6;1392;89;16;0:19:56:00;0:20:23:00;1;
6;L1392;16;6;0:20:23:00;0:20:28:00;2;
6;L1392w;6;6;0:20:28:00;0:20:30:00;9;
6;1409;6;80;0:20:30:00;0:20:40:00;1;
6;1414;80;29;0:20:40:00;0:20:50:00;1;
6;ZD1414;29;168;0:20:50:00;0:21:02:00;3;
7;VD99;168;5;0:05:50:00;0:06:15:00;4;
7;99;5;6;0:06:15:00;0:06:55:00;1;
7;99w;6;6;0:06:55:00;0:07:15:00;9;
7;225;6;42;0:07:15:00;0:07:34:00;1;
7;L225;42;88;0:07:34:00;0:07:46:00;2;
7;L225w;88;88;0:07:46:00;0:07:55:00;9;
7;290;88;5;0:07:55:00;0:08:40:00;1;
7;290w;5;5;0:08:40:00;0:08:45:00;9;
7;375;5;6;0:08:45:00;0:09:25:00;1;
7;L375;6;4;0:09:25:00;0:09:26:00;2;
7;L375w;4;4;0:09:26:00;0:09:30:00;9;
7;440;4;26;0:09:30:00;0:09:57:00;1;
7;L440;26;113;0:09:57:00;0:09:57:00;2;
7;L440w;113;113;0:09:57:00;0:10:28:00;9;
7;507;113;6;0:10:28:00;0:10:55:00;1;
7;L507;6;4;0:10:55:00;0:10:56:00;2;
7;L507w;4;4;0:10:56:00;0:11:00:00;9;
7;560;4;89;0:11:00:00;0:11:26:00;1;
7;585;89;6;0:11:26:00;0:11:55:00;1;
7;ZD585;6;168;0:11:55:00;0:12:07:00;3;
7;VD756;168;88;0:13:13:00;0:13:25:00;4;
7;756;88;5;0:13:25:00;0:14:10:00;1;
7;756w;5;5;0:14:10:00;0:14:15:00;9;
7;847;5;16;0:14:15:00;0:14:59:00;1;
7;ZD847;16;168;0:14:59:00;0:15:11:00;3;
7;VD1028;168;6;0:15:48:00;0:16:00:00;4;
7;1028;6;55;0:16:00:00;0:16:41:00;1;
7;1028w;55;55;0:16:41:00;0:16:44:00;9;
7;1093;55;4;0:16:44:00;0:17:25:00;1;
7;ZD1093;4;168;0:17:25:00;0:17:37:00;3;
7;VD1335;168;6;0:18:48:00;0:19:00:00;4;
7;1335;6;24;0:19:00:00;0:19:26:00;1;
7;1335w;24;24;0:19:26:00;0:19:27:00;9;
7;1366;24;4;0:19:27:00;0:19:55:00;1;
7;1366w;4;4;0:19:55:00;0:20:00:00;9;
7;1396;4;15;0:20:00:00;0:20:35:00;1;
7;1396w;15;15;0:20:35:00;0:20:45:00;9;
7;1417;15;16;0:20:45:00;0:21:23:00;1;
7;L1417;16;25;0:21:23:00;0:21:24:00;2;
7;L1417w;25;25;0:21:24:00;0:21:25:00;9;
7;1432;25;26;0:21:25:00;0:21:52:00;1;
7;L1432;26;113;0:21:52:00;0:21:52:00;2;
7;L1432w;113;113;0:21:52:00;0:21:58:00;9;
7;1445;113;16;0:21:58:00;0:22:23:00;1;
7;L1445;16;25;0:22:23:00;0:22:24:00;2;
7;L1445w;25;25;0:22:24:00;0:22:25:00;9;
7;1451;25;26;0:22:25:00;0:22:48:00;1;
7;L1451;26;113;0:22:48:00;0:22:48:00;2;
7;1459;113;16;0:22:48:00;0:23:13:00;1;
7;ZD1459;16;168;0:23:13:00;0:23:25:00;3;
8;VD98;168;6;0:06:03:00;0:06:15:00;4;
8;98;6;80;0:06:15:00;0:06:27:00;1;
8;123;80;29;0:06:27:00;0:06:40:00;1;
8;L123;29;6;0:06:40:00;0:06:41:00;2;
8;L123w;6;6;0:06:41:00;0:06:45:00;9;
8;170;6;45;0:06:45:00;0:07:04:00;1;
8;170w;45;45;0:07:04:00;0:07:20:00;9;
8;230;45;29;0:07:20:00;0:07:40:00;1;
8;L230;29;6;0:07:40:00;0:07:41:00;2;
8;L230w;6;6;0:07:41:00;0:07:45:00;9;
8;278;6;45;0:07:45:00;0:08:17:00;1;
8;L278;45;7;0:08:17:00;0:08:30:00;2;
8;L278w;7;7;0:08:30:00;0:08:34:00;9;
8;356;7;4;0:08:34:00;0:08:55:00;1;
8;L356;4;6;0:08:55:00;0:08:55:00;2;
8;L356w;6;6;0:08:55:00;0:09:00:00;9;
8;395;6;24;0:09:00:00;0:09:26:00;1;
8;395w;24;24;0:09:26:00;0:09:27:00;9;
8;424;24;4;0:09:27:00;0:09:55:00;1;
8;424w;4;4;0:09:55:00;0:10:00:00;9;
8;481;4;117;0:10:00:00;0:10:30:00;1;
8;L481;117;93;0:10:30:00;0:10:30:00;2;
8;L481w;93;93;0:10:30:00;0:10:51:00;9;
8;542;93;16;0:10:51:00;0:11:29:00;1;
8;ZD542;16;168;0:11:29:00;0:11:41:00;3;
8;VD714;168;88;0:12:43:00;0:12:55:00;4;
8;714;88;5;0:12:55:00;0:13:40:00;1;
8;714w;5;5;0:13:40:00;0:13:45:00;9;
8;799;5;16;0:13:45:00;0:14:29:00;1;
8;ZD799;16;168;0:14:29:00;0:14:41:00;3;
8;VD948;168;25;0:15:13:00;0:15:25:00;4;
8;948;25;26;0:15:25:00;0:15:57:00;1;
8;L948;26;113;0:15:57:00;0:15:57:00;2;
8;L948w;113;113;0:15:57:00;0:15:58:00;9;
8;1013;113;6;0:15:58:00;0:16:25:00;1;
8;ZD1013;6;168;0:16:25:00;0:16:37:00;3;
8;VD1152;168;6;0:17:03:00;0:17:15:00;4;
8;1152;6;42;0:17:15:00;0:17:34:00;1;
8;1152w;42;42;0:17:34:00;0:17:50:00;9;
8;1215;42;29;0:17:50:00;0:18:10:00;1;
8;L1215;29;45;0:18:10:00;0:18:19:00;2;
8;L1215w;45;45;0:18:19:00;0:18:20:00;9;
8;1267;45;29;0:18:20:00;0:18:40:00;1;
8;L1267;29;6;0:18:40:00;0:18:41:00;2;
8;L1267w;6;6;0:18:41:00;0:18:45:00;9;
8;1312;6;45;0:18:45:00;0:19:17:00;1;
8;ZD1312;45;168;0:19:17:00;0:19:35:00;3;
9;VD178;168;42;0:06:35:00;0:06:50:00;4;
9;178;42;29;0:06:50:00;0:07:10:00;1;
9;L178;29;25;0:07:10:00;0:07:14:00;2;
9;L178w;25;25;0:07:14:00;0:07:25:00;9;
9;234;25;26;0:07:25:00;0:07:57:00;1;
9;L234;26;113;0:07:57:00;0:07:57:00;2;
9;L234w;113;113;0:07:57:00;0:07:58:00;9;
9;294;113;16;0:07:58:00;0:08:29:00;1;
9;ZD294;16;168;0:08:29:00;0:08:41:00;3;
9;VD555;168;6;0:10:48:00;0:11:00:00;4;
9;555;6;24;0:11:00:00;0:11:26:00;1;
9;555w;24;24;0:11:26:00;0:11:27:00;9;
9;586;24;4;0:11:27:00;0:11:55:00;1;
9;L586;4;6;0:11:55:00;0:11:55:00;2;
9;L586w;6;6;0:11:55:00;0:12:00:00;9;
9;635;6;55;0:12:00:00;0:12:41:00;1;
9;635w;55;55;0:12:41:00;0:12:44:00;9;
9;697;55;4;0:12:44:00;0:13:25:00;1;
